Município,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,Product
Carangola,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wood
Carapicuíba,82,0,0,15730,0,91,43,226,327,457,335,893,48,0,0,7,0,0,0,0,0,0,0,0,0,Wood
Caratinga,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wood
Carlinda,0,0,0,0,0,0,0,0,0,0,0,0,0,157913,295296,0,0,0,0,1055361,0,0,0,0,0,Wood
Carmo do Rio Verde,0,0,0,78875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wood
Castanhal,0,0,0,0,0,0,0,0,959012,30550,0,0,0,0,0,4641375,8874985,988406,0,0,0,4300,10360,0,0,Wood
Castro Alves,0,0,39,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wood
Catalão,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12804,0,0,0,0,0,Wood
Catanduva,0,0,0,0,0,0,0,0,0,0,0,0,1880,125,16430,87722,273512,224260,411129,0,0,0,0,54000,0,Wood
Caxambu,0,0,0,0,0,0,0,0,170720,353440,381410,501950,288900,565900,622400,69276,477532,171493,56809,14000,0,0,0,0,0,Wood
Caçapava,57872,72935,26301,218,3247,20,120,45,0,0,16403,9850,44704,18000,18942,40708,20828,271682,30,4050,5194,0,0,0,17860,Wood
Cedral,106,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wood
Centro Novo do Maranhão,0,0,0,0,0,0,0,0,0,0,0,70529,26334,132044,539862,540441,1317669,2268900,1659983,836178,1653293,1314047,157887,0,0,Wood
Cerejeiras,0,0,0,0,0,0,0,0,0,0,104251,139871,0,0,90190,70200,132400,0,208327,45754,25000,50600,51340,49000,0,Wood
Cerquilho,0,0,27116,0,0,1,0,0,0,0,19698,8009,0,0,0,0,0,0,0,21000,0,0,0,0,0,Wood
Cesário Lange,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wood
Chapada dos Guimarães,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1360000,0,0,0,0,Wood
Chupinguaia,0,0,0,0,43720,300918,565466,314700,422637,370800,478650,1041752,578418,541069,216867,171517,3620260,5335223,3474591,978079,1076397,713653,237055,0,0,Wood
Cláudia,0,0,0,0,0,0,0,0,0,61990,155060,984625,726942,2237091,4164292,9658535,13706645,17742766,11632324,4064445,2589243,2025602,483490,0,0,Wood
Colniza,15250382,15132430,13875274,14956468,16411633,10988197,8382425,8501213,9935164,8313854,10028825,13839172,17274251,17410443,24133553,15373433,14371545,16868433,3515306,1720713,0,0,0,0,0,Wood
Colorado do Oeste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89100,0,0,0,0,0,0,0,57000,117000,0,Wood
Comodoro,0,0,0,0,0,0,0,0,0,0,0,0,0,38700,105310,140208,142980,739411,791311,37900,0,0,0,0,0,Wood
Conceição do Coité,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wood
Conceição do Jacuípe,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wood
Conchas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92475,0,0,Wood
Conde,0,0,0,0,0,0,0,0,0,0,0,0,0,0,717609,1575757,1551873,3438106,1436426,114240,0,0,0,0,0,Wood
